Rank,US State,Population 2024,Population 2023,Growth Rate,% of US,Density (/mile2)
1,CA,38889770,38965193,-0.0019,0.1158,250
2,TX,30976754,30503301,0.0155,0.0922,119
3,FL,22975931,22610726,0.0162,0.0684,428
4,NY,19469232,19571216,-0.0052,0.058,413
5,PA,12951275,12961683,-0.0008,0.0386,289
6,IL,12516863,12549689,-0.0026,0.0373,225
7,OH,11812173,11785935,0.0022,0.0352,289
8,GA,11145304,11029227,0.0105,0.0332,194
9,NC,10975017,10835491,0.0129,0.0327,226
10,MI,10041241,10037261,0.0004,0.0299,178
11,NJ,9320865,9290841,0.0032,0.0278,1267
12,VA,8752297,8715698,0.0042,0.0261,222
13,WA,7841283,7812880,0.0036,0.0233,118
14,AZ,7497004,7431344,0.0088,0.0223,66
15,TN,7204002,7126489,0.0109,0.0214,175
16,MA,7020058,7001399,0.0027,0.0209,900
17,IN,6892124,6862199,0.0044,0.0205,192
18,MO,6215144,6196156,0.0031,0.0185,90
19,MD,6196525,6180253,0.0026,0.0184,638
20,WI,5931367,5910955,0.0034,0.0177,110
21,CO,5914181,5877610,0.0062,0.0176,57
22,MN,5761530,5737915,0.0041,0.0172,72
23,SC,5464155,5373555,0.0169,0.0163,182
24,AL,5143033,5108468,0.0068,0.0153,102
25,LA,4559475,4573749,-0.0031,0.0136,106
26,KY,4540745,4526154,0.0032,0.0135,115
27,OR,4227337,4233358,-0.0014,0.0126,44
28,OK,4088377,4053824,0.0085,0.0122,60
29,CT,3625646,3617176,0.0023,0.0108,749
30,UT,3454232,3417734,0.0107,0.0103,42
31,IA,3214315,3207004,0.0023,0.0096,58
32,NV,3210931,3194176,0.0053,0.0096,29
33,AR,3089060,3067732,0.0069,0.0092,59
34,KS,2944376,2940546,0.0013,0.0088,36
35,MS,2940452,2939690,0.0003,0.0088,63
36,NM,2115266,2114371,0.0004,0.0063,17
37,ID,1990456,1964726,0.0131,0.0059,24
38,NE,1988698,1978379,0.0052,0.0059,26
39,WV,1766107,1770071,-0.0022,0.0053,73
40,HI,1430877,1435138,-0.003,0.0043,223
41,NH,1405105,1402054,0.0022,0.0042,157
42,ME,1402106,1395722,0.0046,0.0042,45
43,MT,1142746,1132812,0.0088,0.0034,8
44,RI,1098082,1095962,0.0019,0.0033,1062
45,DE,1044321,1031890,0.0121,0.0031,536
46,SD,928767,919318,0.0103,0.0028,12
47,ND,788940,783926,0.0064,0.0023,11
48,AK,733536,733406,0.0002,0.0022,1
49,DC,681683,0,0,0,0
50,VT,647818,647464,0.0006,0.0019,70
51,WY,586485,584057,0.0042,0.0017,6
